nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,EMBER MERAH BESAR
ALAT LAINNYA,06.03.12,EMBER ORANGE
ALAT LAINNYA,06.03.12,EMBER STERILISASI BIRU MUDA
ALAT LAINNYA,06.03.12,EMBER STERILISASI UNGU
ALAT LAINNYA,06.03.12,EMBER TUTUP
ALAT LAINNYA,06.03.12,Ember Warna Silver
ALAT LAINNYA,06.03.12,Emergeency Shower
ALAT LAINNYA,06.03.12,EMERGENCY KIT
ALAT LAINNYA,06.03.12,EMERGENCY SHOWER
ALAT LAINNYA,06.03.12,Environment Meter
ALAT LAINNYA,06.03.12,ENVIRONMENT METOR
ALAT LAINNYA,06.03.12,EXEL mini Pink
ALAT LAINNYA,06.03.12,Exous
ALAT LAINNYA,06.03.12,FACE SHIELD
ALAT LAINNYA,06.03.12,FACE SHIELD HELM
ALAT LAINNYA,06.03.12,FIGURA
ALAT LAINNYA,06.03.12,FIGURA FOTO
ALAT LAINNYA,06.03.12,FIGURA VISI - MISI
ALAT LAINNYA,06.03.12,File Tray
ALAT LAINNYA,06.03.12,Filetry
ALAT LAINNYA,06.03.12,FISH BOWL
ALAT LAINNYA,06.03.12,Flash Lampu Simulator
ALAT LAINNYA,06.03.12,FLOOR SING AWAS LANTAI LICIN
ALAT LAINNYA,06.03.12,FOGGING MACHINE (MAINTENANCE)
ALAT LAINNYA,06.03.12,FOLDING GAZEBO 3X3 RED
ALAT LAINNYA,06.03.12,FOLDING TENT W/ SIDEWALL3X3M
ALAT LAINNYA,06.03.12,FRAME
ALAT LAINNYA,06.03.12,FURNIPRO 1 THN
ALAT LAINNYA,06.03.12,GALON
ALAT LAINNYA,06.03.12,Gantungan ( Jas Lab )
ALAT LAINNYA,06.03.12,GANTUNGAN BAJU
ALAT LAINNYA,06.03.12,GANTUNGAN BAJU/ STAND HANGER
ALAT LAINNYA,06.03.12,Garpu Kecil (1)
ALAT LAINNYA,06.03.12,Garpu Kecil (2)
ALAT LAINNYA,06.03.12,Garpu Kecil (3)
ALAT LAINNYA,06.03.12,Garpu Kecil (4)
ALAT LAINNYA,06.03.12,Garpu Kecil (5)
ALAT LAINNYA,06.03.12,Garpu Kecil (6)
ALAT LAINNYA,06.03.12,Garpu Kecil (7)
ALAT LAINNYA,06.03.12,Garpu Kecil (8)
ALAT LAINNYA,06.03.12,Garpu Kecil (9)
ALAT LAINNYA,06.03.12,Garpu Sedang (1)
ALAT LAINNYA,06.03.12,Garpu Sedang (2)
ALAT LAINNYA,06.03.12,Garpu Sedang (3)
ALAT LAINNYA,06.03.12,Gayung
ALAT LAINNYA,06.03.12,GELAS HOTEL
ALAT LAINNYA,06.03.12,GELAS HOTEL / 10
ALAT LAINNYA,06.03.12,GELAS HOTEL / 11
ALAT LAINNYA,06.03.12,GELAS HOTEL / 12
ALAT LAINNYA,06.03.12,GELAS HOTEL / 2
ALAT LAINNYA,06.03.12,GELAS HOTEL / 3
ALAT LAINNYA,06.03.12,GELAS HOTEL / 4
ALAT LAINNYA,06.03.12,GELAS HOTEL / 5
ALAT LAINNYA,06.03.12,GELAS HOTEL / 6
ALAT LAINNYA,06.03.12,GELAS HOTEL / 7
ALAT LAINNYA,06.03.12,GELAS HOTEL / 8
ALAT LAINNYA,06.03.12,GELAS HOTEL / 9
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN)
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 10
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 12
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 3
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 6
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 7
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 8
ALAT LAINNYA,06.03.12,GELAS TEH (PEGANGAN) / 9
ALAT LAINNYA,06.03.12,Gembok Rantai
ALAT LAINNYA,06.03.12,GORDEN
ALAT LAINNYA,06.03.12,GORDEN BIRU
ALAT LAINNYA,06.03.12,GORDEN BIRU + TIANG + PENGAIT
ALAT LAINNYA,06.03.12,GORDEN BIRU LAUT
ALAT LAINNYA,06.03.12,GORDEN CREAM + TIANG + PENGAIT
ALAT LAINNYA,06.03.12,Gorden Gold
ALAT LAINNYA,06.03.12,GORDEN GOLD + TIANG + PENGAIT
ALAT LAINNYA,06.03.12,GRANO 300L
ALAT LAINNYA,06.03.12,GREEN SCREEN
ALAT LAINNYA,06.03.12,GUCI
ALAT LAINNYA,06.03.12,GUN TRACKER (STAPLES BESAR)
ALAT LAINNYA,06.03.12,Gunting
ALAT LAINNYA,06.03.12,GUNTING BESAR
ALAT LAINNYA,06.03.12,Gunting Kertas
ALAT LAINNYA,06.03.12,GUNTING SEDANG
ALAT LAINNYA,06.03.12,HAIR DRYER
ALAT LAINNYA,06.03.12,HAIRDRAYER
ALAT LAINNYA,06.03.12,Hand Dryer
ALAT LAINNYA,06.03.12,HAND PUMP AIR
ALAT LAINNYA,06.03.12,HAND WASH
ALAT LAINNYA,06.03.12,HANDRUB ALKOHOL
ALAT LAINNYA,06.03.12,HANDSANITIZER
ALAT LAINNYA,06.03.12,HANDSANITIZER FO
ALAT LAINNYA,06.03.12,HANDSOAP
ALAT LAINNYA,06.03.12,HDD Docker
ALAT LAINNYA,06.03.12,HDD EXTERNAL (PENDOK/MUTU)
ALAT LAINNYA,06.03.12,HDD EXTERNAL 2TB
ALAT LAINNYA,06.03.12,Head Charger + Cable
ALAT LAINNYA,06.03.12,HEAD LAMP
ALAT LAINNYA,06.03.12,Headband earmuff
ALAT LAINNYA,06.03.12,Headphone Logitech H111
ALAT LAINNYA,06.03.12,Headset Logitech H111
ALAT LAINNYA,06.03.12,HEAT GUN
ALAT LAINNYA,06.03.12,Hekter
ALAT LAINNYA,06.03.12,Hekter Biasa
ALAT LAINNYA,06.03.12,Hekter Jumbo
ALAT LAINNYA,06.03.12,Hekter No.10
ALAT LAINNYA,06.03.12,Helm
ALAT LAINNYA,06.03.12,HELM BIRU
ALAT LAINNYA,06.03.12,HELM INK
ALAT LAINNYA,06.03.12,Helm K3
ALAT LAINNYA,06.03.12,HELM KESELAMATAN
ALAT LAINNYA,06.03.12,HELM KUNING
ALAT LAINNYA,06.03.12,HELM MERAH
ALAT LAINNYA,06.03.12,HELM PROYEK
ALAT LAINNYA,06.03.12,HELM PUTIH
ALAT LAINNYA,06.03.12,HELM SAFETY
ALAT LAINNYA,06.03.12,HELM SAFETY BIRU 
ALAT LAINNYA,06.03.12,HELM SAFETY KUNING 
ALAT LAINNYA,06.03.12,HELM SAFETY MERAH 
ALAT LAINNYA,06.03.12,HELM SAFETY PUTIH 
ALAT LAINNYA,06.03.12,HELM SELAM
ALAT LAINNYA,06.03.12,Hiasan Bunga Anggrek
ALAT LAINNYA,06.03.12,Hiasan tanaman Bunga Anggrek vas Abu
ALAT LAINNYA,06.03.12,Hiasan tanaman daun
ALAT LAINNYA,06.03.12,Hitung 
ALAT LAINNYA,06.03.12,Holder Handsanitizer
ALAT LAINNYA,06.03.12,Holder Tab
ALAT LAINNYA,06.03.12,HOODIE RENANG
ALAT LAINNYA,06.03.12,HUMIDIFIER
ALAT LAINNYA,06.03.12,Hydrant
ALAT LAINNYA,06.03.12,HYGROMETER
ALAT LAINNYA,06.03.12,INCUBATOR
ALAT LAINNYA,06.03.12,INDUSTRIAL WET MOP
ALAT LAINNYA,06.03.12,JANGKA SORONG
ALAT LAINNYA,06.03.12,JAS HUJAN
ALAT LAINNYA,06.03.12,JEMURAN GANTUNG
ALAT LAINNYA,06.03.12,Jerigen
ALAT LAINNYA,06.03.12,JIRIGEN METAL (JERRY CAN)
ALAT LAINNYA,06.03.12,JUMPER MOBIL
ALAT LAINNYA,06.03.12,JWM Guard Tour WM 5000 V8
ALAT LAINNYA,06.03.12,Kabel EEG
ALAT LAINNYA,06.03.12,Kabel HDMI
